"Calendar_Year","Sector_General","Sector_Detail1","Sector_Detail2","Sector_GPC","Sector_GPC_Detail","Commodity_Type","Emissions_mtCO2e","Biogenic_Emissions_mtCO2e","Quantity","Quantity_Units"
"2019","Transportation","Public Transportation","Bus - Caltrain","Transportation","On-Road Transportation - Caltrain Buses","Diesel","53.06","0.00","5,194.73","gallons"
"2019","Transportation","Public Transportation","Bus - Caltrain","Transportation","On-Road Transportation - Caltrain Buses","CNG","3.33","0.00","524.66","gallons"
"2019","Transportation","Public Transportation","Bus - Caltrain","Transportation","On-Road Transportation - Caltrain Buses","Gasoline","291.37","0.00","33,158.01","gallons"
"2019","Transportation","Public Transportation","Bus - Golden Gate Transit","Transportation","On-Road Transportation - Golden Gate Transit Buses","Diesel","0.00","0.00","0.00","gallons"
"2019","Transportation","Cars & Trucks","Cars & Trucks","Transportation","On-road Transportation - Cars and Trucks","Gasoline","1,590,469.60","0.00","3,987,958,059.16","miles"
"2019","Municipal","Municipal Fleet","Municipal Fleet","Transportation","On-road Transportation - Municipal Fleet","Gasoline","17,672.27","0.00","1,969,459.00","gallons"
"2019","Municipal","Municipal Fleet","Municipal Fleet","Transportation","On-road Transportation - Municipal Fleet","Diesel","7.97","0.00","764.00","gallons"
"2019","Municipal","Municipal Fleet","Municipal Fleet","Transportation","On-road Transportation - Municipal Fleet","CNG","217.27","0.00","35,159.00","gallons"
"2019","Municipal","Municipal Fleet","Municipal Fleet","Transportation","On-road Transportation - Municipal Fleet","Propane","82.67","0.00","14,470.00","gallons"
"2019","Municipal","Municipal Fleet","Municipal Fleet","Transportation","On-road Transportation - Municipal Fleet","Gasoline","2,692.99","0.00","299,626.00","gallons"
"2019","Municipal","Municipal Fleet","Municipal Fleet","Transportation","On-road Transportation - Municipal Fleet","Diesel","1,190.68","0.00","115,520.00","gallons"
"2019","Transportation","Public Transportation","MUNI","Transportation","On-road Transportation - MUNI Buses","Diesel","0.00","0.00","0.00","gallons"
